ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-12 18:00:00+00:00,34,29,637537353,21.4,21.4,21.4,21.4,1,MDY   241220C00590000
2024-11-12 18:00:00+00:00,34,37,620771238,1.9,1.9,1.9,1.9,1,MDY   241115C00610000
2024-11-12 18:00:00+00:00,34,37,620767129,32.8,32.8,32.8,32.8,3,MDY   241115C00570000
2024-11-12 19:00:00+00:00,34,29,637542738,19.0,19.0,19.0,19.0,1,MDY   241220C00595000
2024-11-12 19:00:00+00:00,34,26,637545497,16.0,16.0,16.0,16.0,1,MDY   241220C00600000
2024-11-12 19:00:00+00:00,34,37,637545497,15.8,15.8,15.8,15.8,17,MDY   241220C00600000
2024-11-12 19:00:00+00:00,34,26,637542738,19.13,19.13,19.08,19.1,4,MDY   241220C00595000
2024-11-12 19:00:00+00:00,34,26,620774861,18.5,18.5,18.5,18.5,4,MDY   250321C00620000
2024-11-12 19:00:00+00:00,34,29,637540095,5.3,5.3,5.3,5.3,2,MDY   241220C00625000
2024-11-12 19:00:00+00:00,34,35,637545497,15.82,15.82,15.82,15.82,2,MDY   241220C00600000
2024-11-12 19:00:00+00:00,34,35,637542738,19.03,19.03,19.0,19.02,3,MDY   241220C00595000
2024-11-12 19:00:00+00:00,34,26,620763079,18.8,18.8,18.8,18.8,4,MDY   241115C00585000
2024-11-12 20:00:00+00:00,34,33,637537357,9.9,9.9,9.9,9.9,1,MDY   241220P00595000
2024-11-12 20:00:00+00:00,34,25,637537357,9.9,9.9,9.9,9.9,2,MDY   241220P00595000
2024-11-13 14:00:00+00:00,34,20,637540064,16.09,16.09,16.09,16.09,2,MDY   241220C00600000
2024-11-13 14:00:00+00:00,34,29,637546148,0.8,0.85,0.8,0.85,2,MDY   250620P00360000
2024-11-13 14:00:00+00:00,34,29,637548325,0.6,0.6,0.6,0.6,1,MDY   241220P00460000
2024-11-13 15:00:00+00:00,34,36,637537315,4.35,4.35,4.35,4.35,1,MDY   241220C00625000
2024-11-13 15:00:00+00:00,34,24,637548328,106.26,106.26,106.26,106.26,5,MDY   241220C00500000
2024-11-13 15:00:00+00:00,34,37,620757410,0.7,0.7,0.7,0.7,1,MDY   250117P00430000
2024-11-13 15:00:00+00:00,34,36,637548313,6.0,6.0,6.0,6.0,1,MDY   241220C00620000
2024-11-13 15:00:00+00:00,34,33,637534609,5.5,5.5,5.5,5.5,1,MDY   241220P00585000
2024-11-13 15:00:00+00:00,34,37,620773897,0.65,0.65,0.65,0.65,1,MDY   250117P00415000
